Upc,Price,Product Title,Store,Ebay Price, Ebay Product Link
7.64302E+11,10.85,Nubian Heritage Bar Soap - Patchouli and Buriti - 5 oz,26,https://www.ebay.com/itm/6-packs-Nubian-Heritage-Patchouli-Buriti-Soap-5-oz-141-g/332654087287?hash=item4d73ba8c77:g:e1wAAOSwXxha-857,
7.98412E+11,13.26,Dr. Singha's Feng Shui Spray - Air Detox - 6 fl oz,28.94,https://www.ebay.com/itm/Dr-SinghaS-Feng-Shui-Spray-Air-Detox-6-Fl-Oz-4-Pack/182882463092?epid=8006485459&amp;hash=item2a94a4ed74:g:5W0AAOSwedxalT~R,
7.98412E+11,13,Dr. Singha's Feng Shui Spray Air Detox (1x6 fl Oz),28.94,https://www.ebay.com/itm/Dr-SinghaS-Feng-Shui-Spray-Air-Detox-6-Fl-Oz-4-Pack/182882463092?epid=8006485459&amp;hash=item2a94a4ed74:g:5W0AAOSwedxalT~R,
7.98412E+11,13.26,Dr. Singha's Feng Shui Spray - Air Detox - 6 fl oz,28.94,https://www.ebay.com/itm/Dr-SinghaS-Feng-Shui-Spray-Air-Detox-6-Fl-Oz-4-Pack/182882463092?epid=8006485459&amp;hash=item2a94a4ed74:g:5W0AAOSwedxalT~R,
16185129399,20.2,Neocell Corporation Beauty Bursts Chew Frtpnch (1x60 CT),30.42,https://www.ebay.com/itm/NeoCell-Beauty-Burst-Fruit-Punch-60-Soft-Chews-Free-Shipping-2-Pack/123199303962?epid=691148320&amp;hash=item1caf40311a:g:6RkAAOSwzHRbKD2C,
16185129399,21.79,NeoCell Laboratories Beauty Burst - Fruit Punch - 60 chews,30.42,https://www.ebay.com/itm/NeoCell-Beauty-Burst-Fruit-Punch-60-Soft-Chews-Free-Shipping-2-Pack/123199303962?epid=691148320&amp;hash=item1caf40311a:g:6RkAAOSwzHRbKD2C,
8.47137E+11,53.81,Blueberry Smoothie (Salon Product) 30g/1oz,78.57,https://www.ebay.com/itm/CosMedix-Blueberry-Smoothie-Salon-Product-30g-Womens-Skin-Care/322667106437?epid=1530347906&amp;hash=item4b20755085:g:ro8AAOSwBSxbH8ao,
8.47137E+11,53.81,Blueberry Smoothie (Salon Product) 30g/1oz,78.57,https://www.ebay.com/itm/CosMedix-Blueberry-Smoothie-Salon-Product-30g-Womens-Skin-Care/322667106437?epid=1530347906&amp;hash=item4b20755085:g:ro8AAOSwBSxbH8ao,
6.3748E+11,17.31,Atkins Advantage Bar Chocolate Peanut Butter (1x5 Bars),38.5,https://www.ebay.com/itm/NEW-ATKINS-CHOCOLATE-PEANUT-BUTTER-BAR-HEALTHY-SNACK-GROCERIE-NUTRITION-FOOD/131864151135?epid=1024894699&amp;hash=item1eb3b7445f:g:SiEAAOSwkp1a6yEn,
6.3748E+11,16.23,Atkins Advantage Bar Chocolate Peanut Butter - 5 Bars,38.5,https://www.ebay.com/itm/NEW-ATKINS-CHOCOLATE-PEANUT-BUTTER-BAR-HEALTHY-SNACK-GROCERIE-NUTRITION-FOOD/131864151135?epid=1024894699&amp;hash=item1eb3b7445f:g:SiEAAOSwkp1a6yEn,
86216118395,27.64,Dust-Off(R) DPSXL3 Disposable Dusters (3 pk),42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
86216118395,27.64,Dust-Off(R) DPSXL3 Disposable Dusters (3 pk),42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
86216118395,23.45,Dust Off Disposable Dusters (3 Pk) FLCNDPSXL3,42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
86216118395,23.45,Dust Off Disposable Dusters (3 Pk) FLCNDPSXL3,42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
86216118395,21.45,Dust Off Disposable Dusters (3 Pk) (pack of 1 Ea),42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
86216118395,21.45,Dust Off Disposable Dusters (3 Pk) (pack of 1 Ea),42.99,https://www.ebay.com/itm/1-Case-Falcon-Dust-Off-12-pk-10-oz-Compressed-Canned-Air-Gas-Duster-Cans-Remover/323288422626?hash=item4b457dd8e2:g:JWQAAOSwzHRbFfa-,
